Today's Trade Activity for 45064813SCHW (Schwab Roth) on 7/11/24 15:02:39

Working Orders
Notes,,Time Placed,Spread,Side,Qty,Pos Effect,Symbol,Exp,Strike,Type,PRICE,,TIF,Mark,Status
,,6/6/24 14:04:06,STOCK,SELL,($204.01),TO CLOSE,USD,,,ETF,TRG+2.00%,LMT,GTC_EXT,149.42,WAIT TRG
,,,TRG BY #1000691409007,,,,,,,,,,,,
,,6/6/24 14:04:06,STOCK,BUY,$200.01,TO OPEN,USD,,,ETF,BID+.00,LMT,GTC,149.42,WAIT TRG
,,,TRG BY #1000691409006,,,,,,,,,,,,
,,6/6/24 14:04:06,STOCK,SELL,($204.01),TO CLOSE,USD,,,ETF,TRG+2.00%,LMT,GTC_EXT,149.42,WAIT TRG
,,,TRG BY #1000691409005,,,,,,,,,,,,
,,6/6/24 14:04:06,STOCK,BUY,$200.01,TO OPEN,USD,,,ETF,BID+.00,LMT,GTC,149.42,WAIT COND
,,,TRG BY #1000691409004,,,,,,,,,,,,
,,6/6/24 13:42:47,STOCK,SELL,($204.00),TO CLOSE,USD,,,ETF,TRG+2.00%,LMT,GTC_EXT,149.42,WAIT TRG
,,,TRG BY #1000690509988,,,,,,,,,,,,
,,6/6/24 13:42:47,STOCK,BUY,$200.00,TO OPEN,USD,,,ETF,BID+.00,LMT,GTC,149.42,WAIT TRG
,,,TRG BY #1000690509987,,,,,,,,,,,,
,,6/6/24 13:42:47,STOCK,SELL,-1,TO CLOSE,USD,,,ETF,TRG+2.00%,LMT,GTC_EXT,149.42,WORKING
,,,TRG BY #1000690509986,,,,,,,,170.27,LMT,,,
,,7/8/24 08:45:25,STOCK,SELL,($206.00),TO CLOSE,URTY,,,ETF,TRG+3.00%,LMT,GTC_EXT,48.18,WAIT TRG
,,,TRG BY #1000935497900,,,,,,,,,,,,
,,7/8/24 08:45:25,STOCK,SELL,($206.00),TO CLOSE,URTY,,,ETF,TRG+3.00%,LMT,GTC_EXT,48.18,WAIT TRG
,,,TRG BY #1000935497898,,,,,,,,,,,,
,,7/8/24 08:45:25,STOCK,BUY,$200.00,TO OPEN,URTY,,,ETF,BID+.00,LMT,GTC,48.18,WAIT TRG
,,,TRG BY #1000935497899,,,,,,,,,,,,
,,7/8/24 08:45:25,STOCK,SELL,($206.00),TO CLOSE,URTY,,,ETF,TRG+3.00%,LMT,GTC_EXT,48.18,WAIT TRG
,,,TRG BY #1000935497896,,,,,,,,,,,,
,,7/8/24 08:45:25,STOCK,BUY,$200.00,TO OPEN,URTY,,,ETF,BID+.00,LMT,GTC,48.18,WAIT TRG
,,,TRG BY #1000935497897,,,,,,,,,,,,
,,7/8/24 08:45:25,STOCK,SELL,($206.00),TO CLOSE,URTY,,,ETF,TRG+3.00%,LMT,GTC_EXT,48.18,WAIT TRG
,,,TRG BY #1000935497894,,,,,,,,,,,,
,,7/8/24 08:45:25,STOCK,BUY,$200.00,TO OPEN,URTY,,,ETF,BID+.00,LMT,GTC,48.18,WAIT TRG
,,,TRG BY #1000935497895,,,,,,,,,,,,
,,7/8/24 08:45:25,STOCK,BUY,$200.00,TO OPEN,URTY,,,ETF,BID+.00,LMT,GTC,48.18,WAIT COND
,,6/17/24 20:37:02,STOCK,SELL,($515.01),TO CLOSE,URTY,,,ETF,TRG+3.00%,LMT,GTC_EXT,48.18,WAIT TRG
,,,TRG BY #1000783624523,,,,,,,,,,,,
,,6/17/24 20:37:02,STOCK,BUY,$500.01,TO OPEN,URTY,,,ETF,BID+.00,LMT,GTC,48.18,WAIT COND
,,,TRG BY #1000783624522,,,,,,,,,,,,
,,6/17/24 20:37:02,STOCK,SELL,($515.01),TO CLOSE,URTY,,,ETF,TRG+3.00%,LMT,GTC_EXT,48.18,WAIT TRG
,,,TRG BY #1000783624525,,,,,,,,,,,,
,,6/17/24 20:37:02,STOCK,BUY,$500.01,TO OPEN,URTY,,,ETF,BID+.00,LMT,GTC,48.18,WAIT TRG
,,,TRG BY #1000783624524,,,,,,,,,,,,
,,7/10/24 08:30:44,STOCK,SELL,($510.00),TO CLOSE,TQQQ,,,ETF,TRG+2.00%,LMT,GTC_EXT,79.33,WAIT TRG
,,,TRG BY #1000960408430,,,,,,,,,,,,
,,7/10/24 08:30:44,STOCK,BUY,$500.00,TO OPEN,TQQQ,,,ETF,BID+.00,LMT,GTC,79.33,WAIT TRG
,,,TRG BY #1000960408431,,,,,,,,,,,,
,,7/10/24 08:30:44,STOCK,SELL,-6,TO CLOSE,TQQQ,,,ETF,TRG+2.00%,LMT,GTC_EXT,79.33,WORKING
,,,TRG BY #1000960408428,,,,,,,,82.10,LMT,,,
,,7/10/24 08:30:44,STOCK,BUY,$500.00,TO OPEN,TQQQ,,,ETF,BID+.00,LMT,GTC,79.33,WAIT TRG
,,,TRG BY #1000960408429,,,,,,,,,,,,
,,7/10/24 08:30:44,STOCK,SELL,($510.00),TO CLOSE,TQQQ,,,ETF,TRG+2.00%,LMT,GTC_EXT,79.33,WAIT TRG
,,,TRG BY #1000960408434,,,,,,,,,,,,
,,7/10/24 08:30:44,STOCK,SELL,($510.00),TO CLOSE,TQQQ,,,ETF,TRG+2.00%,LMT,GTC_EXT,79.33,WAIT TRG
,,,TRG BY #1000960408432,,,,,,,,,,,,
,,7/10/24 08:30:44,STOCK,BUY,$500.00,TO OPEN,TQQQ,,,ETF,BID+.00,LMT,GTC,79.33,WAIT TRG
